inventory_id	bibtex_key	language_code_id	source	alternative_language_names
1	Cho1967	kor	SPA	Korean
1	Martin1951	kor	SPA	Korean
1	Martin1954	kor	SPA	Korean
1	MartinLee1969	kor	SPA	Korean
1	Kim1968	kor	SPA	Korean
1	Kim1972	kor	SPA	Korean
2	Dulzon1968	ket	SPA	Ket
2	Krejnovich1968	ket	SPA	Ket
3	Murkelinskij1967	lbe	SPA	Lak
3	Zhirkov1955	lbe	SPA	Lak
3	Khajdakov1966	lbe	SPA	Lak
4	Kuipers1960	kbd	SPA	Kabardian
5	RobinsWaterson1952	kat	SPA	Georgian
5	Selmer1935	kat	SPA	Georgian
5	Tschenkeli1958	kat	SPA	Georgian
5	Vogt1938	kat	SPA	Georgian
5	Vogt1939	kat	SPA	Georgian
5	Vogt1958	kat	SPA	Georgian
5	Vogt1971	kat	SPA	Georgian
6	Morgenstierne1945	bsk	SPA	Burushaski
7	Pinnow1964	kru	SPA	Kurukh
7	Pfeiffer1972	kru	SPA	Kurukh
7	Grignard1924	kru	SPA	Kurukh
8	Lisker1963	tel	SPA	Telugu
8	Krishnamurti1961	tel	SPA	Telugu
8	Kelley1963	tel	SPA	Telugu
9	Emeneau1944	kfe	SPA	Kota
10	GumperzBilibiri1957	unr	SPA	Mundari
11	Biligiri1965	khr	SPA	Kharia
11	Pinnow1959	khr	SPA	Kharia
12	Rabel1961	kha	SPA	Khasi
13	Smith1968	sed	SPA	Sedang
14	Huffman1970a	khm	SPA	Cambodian
14	Jacob1968	khm	SPA	Cambodian
14	Huffman1970b	khm	SPA	Cambodian
15	Thompson1965	vie	SPA	Vietnamese
16	Dow1972	cmn	SPA	Mandarin Chinese
16	Chao1968	cmn	SPA	Mandarin Chinese
16	Cheng1973b	cmn	SPA	Mandarin Chinese
16	Karlgren1926	cmn	SPA	Mandarin Chinese
17	Chao1970	wuu	SPA	Wu
18	Hashimoto1973	hak	SPA	Hakka
19	Cheng1973a	yue	SPA	Cantonese
20	Purnell1965	ium	SPA	Yao
21	Ray1967	dap	SPA	Dafla
22	Okell1969	mya	SPA	Burmese
23	Matisoff1973	lhu	SPA	Lahu
24	Burling1961	grt	SPA	Garo
25	Jones1961	ksw	SPA	Karen
26	Haudricourt1967	lbc	SPA	Lakkia
27	Abramson1962	tha	SPA	Thai
27	Kruatrachue1960	tha	SPA	Thai
27	Noss1954	tha	SPA	Thai
27	Noss1964	tha	SPA	Thai
28	Gedney1965	pcc	SPA	Yay
29	Blood1967	cja	SPA	Cham
30	Egerod1966	tay	SPA	Atayal
31	Dahl1952	plt	SPA	Malagasy
31	Dyen1971	plt	SPA	Malagasy
32	Verguin1967	zsm	SPA	Malay
32	MacdonaldSoenyono1967	zsm	SPA	Malay
33	vanderTuuk1971	bbc	SPA	Batak
34	Clayre1973	snv	SPA	Sa'ban
35	VanSyoc1959	sun	SPA	Sundanese
35	Anderson1972	sun	SPA	Sundanese
35	Robins1953	sun	SPA	Sundanese
35	Robins1957	sun	SPA	Sundanese
36	Uhlenbeck1949	jav	SPA	Javanese
36	Uhlenbeck1963	jav	SPA	Javanese
37	SchachterOtanes1972	tgl	SPA	Tagalog
37	Bloomfield1917	tgl	SPA	Tagalog
38	Topping1973	cha	SPA	Chamorro
39	Tryon1968	iai	SPA	Iai
39	Haudricourt1971	iai	SPA	Iai
40	Counts1969	khl	SPA	Kaliai
