# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
aal	aal	36	27	6	21	9	9	9	0	afas	Biu-Mandara	12:30	14:40	31000	4.49136169383427
aau	aau	14	9	5	4	5	5	5	0	sepr	Upper Sepik	-4:0	141:10	7270	3.86153441085904
abi	abi	39	21	7	14	18	18	9	0	ncon	Kwa	05:40	-04:35	50500	4.70329137811866
abt	abt	24	17	12	5	7	7	6	0	sepr	Middle Sepik	-03:45	143:05	44000	4.64345267648619
ace	ace	55	21	8	13	34	17	10	0	anes	Malayic	04:00	97:30	3500000	6.54406804435028
acv	acv	23	17	6	11	6	6	6	0	hoka	Palaihnihan	41:05	-121:25	16	1.20411998265592
ada	ada	39	23	8	15	12	12	7	4	ncon		06:40	00:05	8e+05	5.90308998699194
adj	adj	31	21	8	13	7	7	7	3	ncon	Kwa	05:40	04:30	1e+05	5
adn	adn	40	18	6	12	22	12	7	0	trng	Greater Alor	-08:16	124:24	31800	4.50242711998443
adz	adz	25	18	6	12	7	7	4	0	anes	Oceanic			28900	4.46089784275655
ael	ael	51	38	17	21	10	10	10	3	ncon		05:56	09:37	2600	3.41497334797082
aer	aer	30	27	15	12	3	3	3	0	aust	Pama-Nyungan	-23:30	136:0	3820	3.58206336291171
aey	aey	20	15	4	11	5	5	5	0	trng	Madang	-05:20	145:40	5300	3.72427586960079
agm	agm	21	12	7	5	9	7	5	0	trng	Angan	-07:10	146:20	2100	3.32221929473392
agq	agq	35	25	8	17	10	10	10	0	ncon	Bantoid	06:39	10:00	26700	4.42651126136457
ags	ags	37	29	11	18	8	8	8	0	ncon		06:30	09:55	20000	4.30102999566398
ahg	ahg	39	28	8	20	7	7	7	4	afas	Central Cushitic	12:45	37:0	1650	3.21748394421391
ahk	ahk	41	28	6	22	13	13	10	0	sitb	Burmese-Lolo	21:10	101:30	2e+05	5.30102999566398
ahl	ahl	33	23	7	16	7	7	7	3	ncon		06:40	00:40	6000	3.77815125038364
ahp	ahp	33	24	7	17	9	9	9	0	ncon	Kru	05:13	-04:20	6500	3.81291335664286
aht	aht	35	30	5	25	5	5	5	0	nadn	Athapaskan	61:30	-145:0	35	1.54406804435028
ain	ain	17	12	5	7	5	5	5	0	_ain	Ainu	43:0	143:0	15	1.17609125905568
ajg	ajg	45	28	8	20	12	12	7	5	ncon	Kwa	07:00	01:45	360000	5.55630250076729
aka	aka	40	22	7	15	15	15	8	3	ncon	Kwa	06:30	-01:30	8300000	6.91907809237607
ake	ake	23	13	9	4	10	7	7	0	cari	Cariban	06:30	-61:25	4500	3.65321251377534
akl	akl	20	17	7	10	3	3	3	0	anes	Meso-Philippine	11:40	122:20	395000	5.59659709562646
akz	akz	21	15	5	10	6	6	3	0	musk	Muskogean	30:45	-94:35	100	2
alc	alc	19	16	6	10	3	3	3	0	alac	Alacalufan	-45:50	-75:40	12	1.07918124604762
